Country Code,Country
3,United States
4,Afghanistan
5,Albania
6,Algeria
7,Andorra
8,Angola
9,Anguilla
10,Antigua
11,Argentina
12,Armenia
13,Aruba
14,Australia
15,Austria
16,Azerbaijan
17,Bahamas
18,Bahrain
19,Bangladesh
20,Barbados
21,Belarus
22,Belgium
23,Belize
24,Benin
25,Bermuda
26,Bhutan
27,Bolivia
28,Bosnia & Herzegovina
29,Botswana
30,Brazil
31,British Virgin Islands
32,Brunei
33,Bulgaria
34,Burkina Faso
35,Burundi
36,Cambodia
37,Cameroon
38,Canada
39,Cape Verde
40,Cayman Islands
41,Central African Republic
42,Chad
43,Chile
44,China
45,Colombia
46,Comoros
47,Congo
48,Cook Islands
49,Costa Rica
50,Côte d’Ivoire
51,Croatia
52,Cuba
53,Cyprus
54,Czech Republic
55,Denmark
56,Djibouti
57,Dominica
58,Dominican Republic
59,Ecuador
60,Egypt
61,El Salvador
62,Equatorial Guinea
63,Eritrea
64,Estonia
65,Ethiopia
66,Falkland Islands
67,Fed States of Micronesia
68,Fiji
69,Finland
70,France
71,French Guiana
72,French Polynesia
73,Gabon
74,Gambia
75,Georgia
76,Germany
77,Ghana
78,Gibraltar
79,Greece
80,Grenada
81,Guadeloupe
82,Guatemala
83,Guinea
84,Guinea-Bissau
85,Guyana
86,Haiti
87,Honduras
88,Hong Kong
89,Hungary
90,Iceland
91,India
92,Indonesia
93,Iran
94,Iraq
95,Ireland
96,Israel
97,Italy
98,Jamaica
99,Japan
100,Jordan
101,Kazakhstan
102,Kenya
103,Kiribati
104,Korea Dem People’s Rep
105,Kuwait
106,Kyrgyzstan
107,Laos
108,Latvia
109,Lebanon
110,Leeward Islands
111,Lesotho
112,Liberia
113,Libya
114,Liechtenstein
115,Lithuania
116,Luxembourg
117,Macao
118,Macedonia
119,Madagascar
120,Malawi
121,Malaysia
122,Maldives
123,Mali
124,Malta
125,Marshall Islands
126,Martinique
127,Mauritania
128,Mauritius
129,Mexico
130,Moldova
131,Monaco
132,Mongolia
133,Montserrat
134,Morocco
135,Mozambique
136,Myanmar
137,Namibia
138,Nauru
139,Nepal
140,Netherlands
141,Netherlands Antilles
142,New Caledonia
143,New Zealand
144,Nicaragua
145,Niger
146,Nigeria
147,Niue
148,Norway
149,Oman
150,Pakistan
151,Palau
152,Palestinian Authority
153,Panama
154,Papua New Guinea
155,Paraguay
156,Peru
157,Philippines
158,Poland
159,Portugal
160,Qatar
161,Republic of Korea
162,Reunion
163,Romania
164,Russia
165,Rwanda
166,San Marino
167,São Tomé & Príncipe
168,Saudi Arabia
169,Senegal
170,Seychelles
171,Sierra Leone
172,Singapore
173,Slovakia
174,Slovenia
175,Solomon Islands
176,Somalia
177,South Africa
178,South America
179,Spain
180,Sri Lanka
181,St Kitts-Nevis
182,St Lucia
183,St Vincent
184,Sudan
185,Suriname
186,Swaziland
187,Sweden
188,Switzerland
189,Syria
190,Taiwan
191,Tajikistan
192,Tanzania
193,Thailand
194,Togo
195,Tonga
196,Trinidad & Tobago
197,Tunisia
198,Turkey
199,Turkmenistan
200,Turks & Caicos Islands
201,Tuvalu
202,Uganda
203,Ukraine
204,United Arab Emirates
205,United Kingdom
207,Uruguay
208,USSR Former
209,Uzbekistan
210,Vanuatu
211,Vatican City
212,Venezuela
213,Vietnam
214,Western Sahara
215,Western Samoa
216,Windward Islands
217,Yemen
218,Yugoslavia Former
219,Zaire/Congo
220,Zambia
221,Zimbabwe
